Simulations,Average Reward,Standard Deviation,Standard Error,Min,Max,Cheat,Terminal
10,12.09560,6.72202,2.12569,3.84988,20.98183,10,10
100,116.14132,60.48406,19.12674,33.75354,218.45956,10,10
200,315.27709,183.17431,57.92480,83.94394,758.98631,10,10
300,373.20696,293.83888,92.92001,37.88010,962.19970,9,9
400,454.46014,288.72536,91.30297,62.29035,963.59043,8,8
500,582.38172,313.36200,99.09376,100.42131,961.87507,8,8
750,606.35538,308.04465,97.41227,88.88228,957.69270,8,8
1000,585.53000,341.36337,107.94857,147.64791,957.08070,6,6
1500,643.51807,359.60729,113.71781,81.80392,958.53925,5,5
2500,926.92834,120.99109,38.26074,563.98720,970.29154,1,1
5000,882.42441,292.75185,92.57626,4.17041,981.04385,1,1
7500,982.90308,0.45320,0.14331,982.03169,983.75775,0,0
10000,836.44154,181.78164,57.48440,463.85740,988.63734,5,5
